"point","year","sm3_u1","night","species","ccounts","forest","y_coord","x_coord","mic_ht"
"213_2",2016,0,20160611,"epfu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myth",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"labl",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"coto",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"eupe",0,"plumas/lassen",40.14,121.07,2.3
"213_7",2016,0,20160712,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myca",3,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"myca",41,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myca",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myca",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"epfu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"epfu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"mylu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"epfu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myca",11,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"epfu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"lano",3,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"tabr",3,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"mylu",11,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myca",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"euma",0,"plumas/lassen",40.14,121.06,2.5
